"Date","Close"
"2018-08-01",111.6225
"2018-08-02",111.6925
"2018-08-03",111.265
"2018-08-06",111.3375
"2018-08-07",111.344
"2018-08-08",110.904
"2018-08-09",111.0875
"2018-08-10",110.875
"2018-08-13",110.6765
"2018-08-14",111.2565
"2018-08-15",110.6345
"2018-08-16",111.001
"2018-08-17",110.505
"2018-08-20",109.986
"2018-08-21",110.1655
"2018-08-22",110.6131
"2018-08-23",111.3955
"2018-08-24",111.235
"2018-08-27",111.1405
"2018-08-28",111.165
"2018-08-29",111.7145
"2018-08-30",111.004
"2018-08-31",111.0404
"2018-09-04",111.4635
"2018-09-05",111.4515
"2018-09-06",110.4975
"2018-09-07",111.005
"2018-09-10",111.1515
"2018-09-11",111.6095
"2018-09-12",111.223
"2018-09-13",112.036
"2018-09-14",112.055
"2018-09-17",111.751
"2018-09-18",112.3445
"2018-09-19",112.278
"2018-09-20",112.475
"2018-09-21",112.565
"2018-09-24",112.8055
"2018-09-25",112.9801
"2018-09-26",112.732
"2018-09-27",113.3885
"2018-09-28",113.688
"2018-10-01",113.996
"2018-10-02",113.6525
"2018-10-03",114.441
"2018-10-04",113.899
"2018-10-05",113.725
"2018-10-08",113.161
"2018-10-09",113.005
"2018-10-10",112.2315
"2018-10-11",112.0745
"2018-10-12",112.213
"2018-10-15",111.7702
"2018-10-16",112.306
"2018-10-17",112.6195
"2018-10-18",112.1965
"2018-10-19",112.5504
"2018-10-22",112.8203
"2018-10-23",112.3905
"2018-10-24",112.0755
"2018-10-25",112.368
"2018-10-26",111.897
"2018-10-29",112.3525
"2018-10-30",113.092
"2018-10-31",112.945
"2018-11-01",112.604
"2018-11-02",113.205
"2018-11-05",113.198
"2018-11-06",113.423
"2018-11-07",113.5185
"2018-11-08",114.038
"2018-11-09",113.8304
"2018-11-12",113.807
"2018-11-13",113.8215
"2018-11-14",113.598
"2018-11-15",113.554
"2018-11-16",112.835
"2018-11-19",112.4955
"2018-11-20",112.732
"2018-11-21",113.102
"2018-11-23",112.9504
"2018-11-26",113.567
"2018-11-27",113.753
"2018-11-28",113.622
"2018-11-29",113.432
"2018-11-30",113.508
"2018-12-03",113.6297
"2018-12-04",112.77
"2018-12-06",112.727
"2018-12-07",112.733
"2018-12-10",113.263
"2018-12-11",113.381
"2018-12-12",113.2785
"2018-12-13",113.608
"2018-12-14",113.436
"2018-12-17",112.826
"2018-12-18",112.485
"2018-12-19",112.422
"2018-12-20",111.286
"2018-12-21",111.235
"2018-12-24",110.442
"2018-12-26",111.3098
"2018-12-27",110.9501
"2018-12-28",110.275
"2018-12-31",109.655
